name,website,phone,address_1,city,state,zip,has_in_state,has_out_state,has_full_service,has_moving_labor,has_packing_services,has_containers,has_agent,has_art_antiques,has_auto_transport,has_broker,has_carrier_broker,has_commercial_moves,has_corporate_reloc,has_govt,has_industrial_movers,has_dod_cert,has_pianos,has_safes,num_trucks,warehouse_size,business_type,since,bbb_link,dot_info,state_license_row,state_assoc_info
First Class Movers,www.firstclassmoversllc.com,720-309-6321,9888 E Vassar Dr Apt C204,Denver,CO,80231,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00281,""
Best Buffalo Movers,www.bestbuffalomovers.com,716-391-3582,733 Delaware Road,Buffalo,NY,14223,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,true,true,"","","",2000,"","","",Not Found
iClean Chicago,icleanchicago.com,312-888-7073,"E Jackson Blvd, floor 7, office 205",Chicago,IL,60604,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,0,"","","","","","",Not Found
Uno Moving ,www.omahahousekeeping.com,402-810-6322,3063 s 49t have,Omaha,NE,68106,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,"","","",2015,"","",Not Found,""
Hillside Van Lines,hillsidevanlines.com,631-499-8400,39 Doyle Court,East Northport,NY,11731,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,"","","",1941,"","","",Not Found
All in Moving Systems,allinmovingsystems.com,888-259-0707,36 Harold Ave,Santa Clara,CA,95050,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","",2011,"","","",Not Found
Elite Moving  Packing LLC,www.EliteMoveMe.com,502-822-4038,908 Lily Creek Rd.,Louisville,KY,40243,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,true,"","","",2013,"","","",MEMBER
P2P TRANSPORT SERVICES,www.p2ptransportation.com,678-939-2497,2020 Howell Mill Rd. NW,"Atlanta, GA ",GA,30318,true,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,,,,,,"","",Not Found
Goal Line Moving,goallinemoving.com,612-361-9916,13570 Grove Drive #285,Maple Grove,MN,55311,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","","",Not Found
Golden Eagle Moving Company,goldeneaglemovingcompany.com,415-608-6266,29605 Pacific St,Hayward,CA,94544,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,"","","",2012,"","","",Not Found
Best Price Movers,www.bestpricemoversusa.com,813-724-3311,1012 Iris Lake Drive,Tampa,FL,33619,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,true,0,"","","","","","",Not Found
Flatirons Moving  Storage,www.flatironsmoving.com,303-499-1151,"2740 47th, St",Denver,CO,80301,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,4,"","","","","",Inactive,""
Dawn Maldonado Moving And Delivery,aol.com,954-882-1337,4851 NW 103 ave suite 44b,Sunrise,FL,33351,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,"","","",2003,"","","",Not Found
"F  N Moving, LLC",www.friends-neighbors.co,949-290-1113,4305 Windsor Centre Trl,Flower Mound,TX,75028,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","",2015,"","","",Not Found
Nash Moving Service,nowebsite.com,239-243-3366,613 SE 24th Ave,Cape Coral,FL,33990,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
Advanced Shield Moving  Labor,www.advancedshieldmoving.weebly.com,951-315-6434,Acacia Ave,Desert Hot Springs,CA,92240,true,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,"","","",2013,"","","",Not Found
KnightSpeed Moving,knightspeedmoving.com,800-591-0161,12101 Ashton Manor Way,Orlando,FL,32828,true,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,"","","",2013,"","","",Not Found
KnightSpeed Moving,knightspeedmoving.com,954-665-3690,15051 Royal Oaks Ln,North Miami,FL,33181,true,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,"","","",2013,"","","",Not Found
EZ Moving  Delivery Service,ezmovingdirect.com,407-473-9498,3239 Old WInter Garden Rd. ,Orlando,FL,32805,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,"","","",2005,"","","",Not Found
Zippy Shell Northern Virginia,www.ZippyShell.com,703-216-8300,25395 Pleasant Valley Rd Suite 110,Chantilly,VA,20152,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
"Excellent Quality Movers, Inc.",www.eqmoving.com,888-668-3001,"Brooklyn, NY 11231",Нью-Йорк,NY,11231,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,0,"","","","","","",Not Found
Front Range Movers of Colorado Inc.,www.frontrangemoversco.com,303-841-6600,1106 N Castlewood Pl,Franktown,CO,80116,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,2,"","","","","",Canceled,""
1 Timer Movers,seattle.craigslist.org,425-750-3524,31212 13th Avenue South,Federal Way,WA,98003,true,false,true,true,true,true,false,false,false,true,true,true,false,false,true,false,false,true,0,"","","","","","",Not Found
"TATE THE GREAT MOVING COMPANY, LLC",tatethegreatmoving.com,770-833-6603,1572 GA-85. SUITE 608,Fayetteville ,GA,30214,true,false,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,true,"","","",2005,"","","",MEMBER
Superstar Movers,www.superstarmovers.com,714-467-1821,16574 Montego Way,Tustin,CA,92780,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,"","","",2012,"","","",Not Found
Full House Moving,www.fullhousemoving.com,972-426-9144,2201 E. George Bush Hwy.,Plano,TX,75074,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",MEMBER
Ricks Professional Moving Service,www.rpmsmoivng.com,469-207-7244,2907 Sunset Ridge,McKinney,TX,75070,false,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,"","","",2014,"","","",Not Found
RL RELOCATION LLC,rlrelocationllc.com,949-444-8590,2366 Cornell Drive,Costa Mesa,CA,92626,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
ARC Moving,www.arcmover.com,727-223-9507,15677 Morgan Street,Clearwater,FL,33760,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,"","","",2013,"","","",Not Found
Southern Move  Haul,www.southernmoveandhaul.com,423-637-0995,1591 Glass Mill Rd,Chickamauga,GA,30707,true,false,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,0,"","","","","","",Not Found
Bo Ballard Moving Services,www.moveokc.com,405-679-3844,3933 Northwest 15th Street,oklahoma city,OK,73701,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",Not Found,""
In House Moving Company,www.inhousemovingcompany.com,614-547-6362,341 S 3rd St,Columbus,OH,43215,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
Frontier Movers,www.frontiermovers.net,970-264-0988,654 Easy St,Pagosa Springs,CO,81147,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,3,"","","","","",HHG-00046,""
"Keep It Moving, LLC.",keepitmovingllc.com,855-754-2506,301 St. Vincent St. ,Philadelphia,PA,19111,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,"","","","",http://www.bbb.org/washington-dc-eastern-pa/business-reviews/moving-and-storage-company/keep-it-moving-llc-in-philadelphia-pa-235997310/,"","",MEMBER
National Express Auto Transport,www.nationalexpressautotransport.com,800-284-7177,7950 NW 53RD STREET,Miami,FL,33166,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"","","","",http://www.bbb.org/south-east-florida/business-reviews/vehicle-transport-services/national-express-auto-transport-in-miami-fl-90300546,"","",Not Found
"Moving On Birmingham, LLC ",movingonbham.com,205-612-2445,110 David Green Road,Birmingham,AL,35244,true,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,"","","",2013,"","","",Not Found
Advanced Moving Service,www.teammoversinc.com,407-880-4515,700 S Hawthorne Ave.,Apopka,FL,32703,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
Act of Class Moving  Storage,www.actofclassmoving.com,239-249-3232,860 6th Ave S,Naples,FL,34102,true,false,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,true,"","","",2014,"","","",MEMBER
The Moving Guys,www.movingguysnj.com,201-997-6200,527 Springfield rd,Kenilworth,NJ,07033,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,true,"","","","",http://www.bbb.org/new-jersey/business-reviews/movers/the-moving-guys-marlboro-in-marlboro-nj-90071290,"","",Not Found
"All The Right Moves, Ltd., Moving  Storage",www.welovemoving.com,516-354-6683,119 South 3rd Street,New Hyde Park,NY,11040,false,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,true,false,"","","","",http://www.bbb.org/new-york-city/business-reviews/movers/all-the-right-moves-in-new-hyde-park-ny-76332,"","",MEMBER
Good Choice Movers LLC,www.goodchoicemovers.com,857-919-9521,Boston,MA,MA,02122,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,"","","","",http://www.bbb.org/boston/business-reviews/movers/good-choice-movers-llc-in-lynn-ma-144442/,"","",Not Found
Tuxedo Moving LLC,tuxedomovingllc.com,913-742-0760,405 N Mahaffie St,Olathe,KS,66061,true,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,true,true,"","","",2015,"","",Not Found,""
TLS Van Lines,tlsmovers.com,1822-267-0101,11144 Penrose Street,Sun Valley,CA,91352,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,"","","",2014,"","","",Not Found
G K Moving  Storage,,720-621-8387,5382 E Asbury Ave,Denver,CO,80222,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00040,""
Rio Moving,www.riomoving.com,888-979-2130,13th St NW,Washington,DC,20005,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,0,"","","","",Not Found,"",""
Rio Moving,www.riomoving.com,888-979-2130,"S Calvert St,Baltimore MD",Baltimore,MD,21202,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,0,"","","","","","",Not Found
Rio Moving,www.riomoving.com,888-979-2130,"100 cambridge st,",Boston,MA,02114,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,0,"","","","","","",Not Found
Rio Moving,www.riomoving.com,888-979-2130,401 wiltshire blvd,Santa Monica,CA,90401,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,0,"","","","","","",Not Found
Rio Moving,www.riomoving.com,888-979-2130,"17th ave,seatlle",Seattle,WA,98101,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,0,"","","","","","",Not Found
BB Moving And Storage,wwwbbmovingandstorage.com,203-740-1224,6 Jireh Lane,Brookfield,CT,06804,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,false,"","","","",http://www.bbb.org/connecticut/businessreviews/moving-and-storage-company/b-b-moving-storage-in-bridgeport-ct-41000650,"","",Not Found
"BCb Moving Labor Services, LLC",www.bcbmoving.com,339-224-4799,2 Franklin Ct,Malden,MA,02148,true,false,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,"","","",2013,"","","",Not Found
Chris and Co. Movers,chrisandcomovers.com,214-277-3601,800 Lakeside Circle,Lewisville,TX,75057,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
erics moving and delivery service,ericsmovingandelivery.com,608-386-9787,3178 29th Street South,La Crosse,WI,54601,true,false,true,true,true,true,false,false,false,false,false,true,false,false,true,false,false,true,0,"","","","","","",Not Found
Move Crew LLC,Www.movecrewllc.com,302-290-4684,14 Fresconi court,New Castle,DE,19720,true,false,true,true,true,false,false,true,false,false,false,true,true,false,true,false,true,false,"","","",2013,"","","",Not Found
Gallagher Transport International,www.gallaghertransport.com,303-365-1000,4730 Oakland St. Suite 210,Denver,CO,80239,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",HHG-00267,""
movingfellows ,www.movingfellows.com,541-357-9159,35005 Northernwood Dr,Brownsville,OR,97327,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
A to Z Valley Wide Movers,www.azvalleywidemovers.com,602-422-6409,2316 e South Rawhide Drive,Gilbert,AZ,85296,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","",2812373,"",""
LM Movers,yahoo.com,215-437-9195,9912 Medway Road,Philadelphia,PA,19115,true,true,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,"","","",2012,"","","",Not Found
Ant Moving Company,antmoving.com,818-922-5989,12439 W Magnolia Blvd #214,Los Angeles,CA,90036,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
TB Moving Inc.,tbmoving.com,718-551-3773,168 Division Avenue,Brooklyn,NY,11211,true,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,"","","","",http://www.bbb.org/new-york-city/business-reviews/movers/tb-moving-in-brooklyn-ny-155696/,"","",Not Found
Anthony Alberga Services LLC,www.fredericklocalmovers.com,21701,316 South Jefferson Street,Frederick,MD,21701,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","",2014,"","","",MEMBER
Ablaze Firefighter Movers,ablazefirefightermovers.com,405-896-0110,2922 NW21st street,Oklahoma City,OK,73107,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",Not Found,""
Ablaze Firefighter Movers,ablazefirefightermovers.com,817-219-1185,3119 Bob White DR,Granbury,TX,76049,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
My Guys Moving  Storage ,www.myguysmovingrva.com,757-463-3001,"1337 Taylor Farm Rd, suite 100",Virginia Beach,VA,23453,true,false,true,false,true,false,true,false,true,false,false,true,true,true,true,true,true,true,"",23000 ft2,"","","","","",Not Found
Galt Moving  Storage Inc.,www.movingdenver.com,303-795-8500,1299 W Littleton Blvd,Littleton,CO,80120,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,4,"","","","","",HHG-00101,""
Basicroot LLC,basicroot.com,212-884-9918,"244 Fifth Avenue, Suite B202",New York,NY,10001,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,"","","",2014,"","","",Not Found
Relex- The Relocation Experts,www.relexmovers.com,720-503-1376,Mount View Lane,Colorado Springs,CO,80907,true,false,false,true,true,true,false,true,false,true,false,true,false,false,true,false,true,true,"","","",2014,"","",Not Found,""
1st Choice Movers,www.wemovejax.com,904-731-7223,8230 Baycenter Road,Jacksonville,FL,32256,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,"","","",1996,"","","",MEMBER
Rhino Relocation,Rhinorelocation.com,818-901-1664,17639 Sherman Way,Van Nuys,CA,91406,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,0,"","","","","","",Not Found
Cardinal Moving  Junk Removal Inc.,cardinalmove.com,845-477-1313, 17 Cardinal Drive,Poughkeepsie,NY,12601,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,0,"","","","","","",Not Found
New Age Move Management ,www.newagemovemanagement.com,866-627-6266,4704 Braddock Road,Alexandria,VA,22311,true,false,true,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false,0,"","","","","","",Not Found
Ablaze Firefighter Movers,www.ablazefirefightermovers.com,817-399-9300,3119 Bob White Dr,Granbury ,TX,76049,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,"","","","",http://www.bbb.org/central-texas/business-reviews/movers/a-blaze-firefighter-movers-in-decordova-tx-235961817/,"","",Not Found
Ablaze Firefighter Movers,www.ablazefirefightermovers.com,972-418-6683,5525 Denton Hwy,Haltom City,TX,76148,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,"","","","",http://www.bbb.org/central-texas/business-reviews/movers/a-blaze-firefighter-movers-in-decordova-tx-235961817/,"","",Not Found
Ablaze Firefighter Movers,www.ablazefirefightermovers.com,682-302-5293,526 Harvard Dr,Mesquite,TX,75149,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,true,"","","","",http://www.bbb.org/central-texas/business-reviews/movers/a-blaze-firefighter-movers-in-decordova-tx-235961817/,"","",Not Found
Cherry Hill Pack N' Go,www.cherryhillpackngo.com,856-281-3064,1400 Berlin Road,Cherry Hill,NJ,08003,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,0,"","","","","","",Not Found
Gate City Moving,www.gatecitymoving.com,303-744-8692,306 Washington,Denver,CO,80203,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,5,"","","","","",HHG-00001,""
Seattle Movers Inc,www.seattlemovers.com,206-284-9445,8700 Aurora Avenue North,Seattle,WA,98103,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"","","","",http://www.bbb.org/western-washington/business-reviews/moving-services-labor-and-materials/seattle-movers-inc-in-seattle-wa-10025212,"","",Not Found
Seattle Movers Inc,www.seattlemovers.com,206-284-9445,410 S 96th St,Seattle,WA,98168,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"","","","",http://www.bbb.org/western-washington/business-reviews/moving-services-labor-and-materials/seattle-movers-inc-in-seattle-wa-10025212,"","",Not Found
Cypress Professional Movers,www.cypressprofessionalmovers.com,713-766-5567,#354,Cypress,TX,77429,true,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,0,"","","","","","",Not Found
McCorquodale Transfer,www.mtmoves.com,334-202-9059,2727 Boultier St.,Montogomery,AL,35243,true,true,true,true,false,false,false,true,false,false,false,true,true,false,false,false,true,true,"","","",1996,"","","",Not Found
McCorquodale Transfer,www.mtmoves.com,205-870-7474,381 Summit Blvd.,Birmingham,AL,35243,true,true,true,true,false,false,false,true,false,false,false,true,true,false,false,false,true,true,"","","",1996,"","","",Not Found
Premium moving services ,movinghelp.com,651-757-5135,949 Schaller drive south ,Maplewood,MN,55119,true,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,"","","",2016,"","","",Not Found
Entrust Movers,www.entrustmovers.com,713-296-9934,8525 Sands Point Dr.,Houston,TX,77036,true,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,,,,,,"","",Not Found
"Beefcake Moving  Storage, Inc.",www.beefcakemovers.com,855-679-1705,9950 Canoga Avenue,chatsworth,CA,91311,true,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,true,0,"","","","","","",Not Found
"EZ Moving Van Lines, Inc.",www.ezmovingvanlines.com,917-703-5156,500 THREE ISLANDS BLVD,HALLANDLE BEACH,FL,33009,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","",2015,"","","",Not Found
Black Tie ,www.blacktiemoving.com,615-900-2641,309 Mallory Station Rd,Franklin,TN,37067,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,"","","","",http://www.bbb.org/dallas/business-reviews/movers/black-tie-moving-in-dallas-tx-90468391,2782498,"",""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,11590 Rezanof W,Kodiak,AK,99615,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Gem Moving  Storage,www.mesamoving.com,970-242-1565,681 Railroad Blvd,Grand Junction,CO,81505,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Mayflower
            ","","","",HHG-00236,""
1St Choice Movers,www.firstchoicepa.com,215-302-7997,1735 Market Street,Philadelphia,PA,19103,true,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true,true,"","","","",http://www.bbb.org/greater-maryland/business-reviews/moving-and-storage-company/1st-choice-movers-in-baltimore-md-90277386,"","",Not Found
Puget Sound Moving,www.psmoving.com,206-568-0600,1091 Industry Dr,Tukwila,WA,98188,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","","",http://www.bbb.org/northwest/business-reviews/movers/puget-sound-moving-inc-in-kent-wa-22513485/,"","",Not Found
Cavan's Moving Services Inc.,cavansmovingservices.com,888-536-4793,5506 Guava Circle,Tamarac,FL,33319,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
TLC Moving Services,www.tlcmovingservices.com,877-852-6683,501 W Glenoaks Blvd,Glendale,CA,91202,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
"The Moving Company, LLC",wemovebetter.com,417-501-9128,3710 W Montclair St,Springfield,MO,65807,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,"","","",2015,"","","",Not Found
North Texas Van Lines,northtexasvanlines.net,214-789-4727,2474 Loyce Drive,Mesquite,TX,75149,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","","",Not Found
J  B Movers,jbmovingteam.com,870-919-1050,361 Southwest Drive,Jonesboro,AR,72401,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",Not Found,""
Crabtree Family Moving ,crabtreefamilymoving.com,919-500-2013,3216 Spottswood Street Unit #115,Raleigh,NC,27615,true,true,true,true,true,true,false,true,false,false,false,true,true,false,true,false,true,false,"","","",2011,"","","",MEMBER
Unique Moving Services,uniquemovingservicesorlando.com,321-689-3038,4250 Alafaya Trl. Ste. 212-234,Oviedo,FL,32765,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"","","",2001,"","","",Not Found
