name,website,phone,address_1,city,state,zip,has_in_state,has_out_state,has_full_service,has_moving_labor,has_packing_services,has_containers,has_agent,has_art_antiques,has_auto_transport,has_broker,has_carrier_broker,has_commercial_moves,has_corporate_reloc,has_govt,has_industrial_movers,has_dod_cert,has_pianos,has_safes,Number of Trucks,Warehouse Size,Business Type,In Business Since,Better Business Bureau,usdot_row,state_license_row,state_association_row
Helping Hands Moving Inc.,www.helpinghandsmovingcs.com,719-661-7354,4425 Austin Bluffs Pkwy,Colorado Springs,CO,80918,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,1,"","","","","",HHG-00001,""
Hungry Man With Truck,,720-404-1633,457 S Memphis Way,Aurora,CO,80017,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00256,""
Hurclee's Moving LLC,,970-545-0948,1128 11Th St #B,Greeley,CO,80631,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",Revoked,""
Ihaul Imove,www.ihaulimove.com,719-351-5064,2430 S Academy Blvd,Colorado Springs,CO,80916,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",No,""
Integrity Moving LLC,,303-840-7467,11600 E 53rd Ave Unit C,Denver,CO,80239,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00265,""
Inter-Mountain Transfer  Storage Inc.,www.intermountainstorage.com,970-876-2376,1405 Main St,Silt,CO,81652,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,3,"","","","","",Inactive,""
Jo Mama's Movers Inc.,www.jomamasmovers.com,970-728-3883,160 Front St,Placerville,CO,81430,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,2,"","","","","",No,""
Kid Gloves LLC,www.kidgloves.us,970-449-2309,4821 S Cr 13,Loveland,CO,80537,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",Inactive,""
Kodiak Moving Inc.,www.kodiakmovinginc.com,303-373-1876,4315 Ceylon Ct,Denver,CO,80249,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,2,"","","","","",HHG-00080,""
L A E Moving Service,,303-875-2723,7380 Bradburn Blvd,Westminster,CO,80030,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00080,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,109 Loftin Rd,Dothan,AL,36303,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Main Street Movers Inc.,www.mainstreetmoverscolorado.com,303-604-2008,730 Lafayette St,Louisville,CO,80027,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00039,""
Making Moves,www.makingmovesmovers.com,303-781-5500,6551 S Otis Way,Littleton,CO,80123,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",HHG-00261,""
Maximum Team Moving Service Inc.,,303-320-4520,4770 Forest St  Unit B,Denver,CO,80216,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,"","","","","",HHG-00091,""
Mesa Moving  Storage,www.mesamoving.com,303-923-1300,403 S Airport Blvd ,Aurora,CO,80017,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for United Van Lines
            ","","","",Inactive,""
Mesa Systems Inc.,www.mesamoving.com,970-241-6450,681 Railroad Blvd ,Grand Junction,CO,81505,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,"","","
              Agent for United Van Lines
            ","","","",HHG-00080,""
Metro Movers,,720-339-3176,5350 E 33rd Ave,Denver,CO,80207,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00261,""
Metro Moving  Storage Co,movewithmetro.com,303-798-9313,6001 S Prince St,Littleton,CO,80120,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,"","","
              Agent for National Van Lines
            ","","","",HHG-00277,""
Midwest Moving Hauling  Installation LLC,,303-288-9809,10444 Victor St,Commerce City,CO,80022,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",Revoked,""
Mile High Movers LLC,www.milehighmoversllc.com,720-425-2432,4503 W 52nd AVE,Denver,CO,80212,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",HHG-00400,""
Millennium Movers ,www.millenniummovers.com,303-650-2891,345 W 62nd Ave,Denver,CO,80216,true,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,"","","",1999,"","",HHG-00275,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,15333 Farm Creek Dr.,Woodbridge,VA,22191,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Miners Moving  Storage,,970-389-4940,550 Cr 18,Fairplay,CO,80440,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,1,"","","","","",HHG-00246,""
Middle West Movers,www.middlewestmovers.com,402-515-8800,210 Hickory Street,Omaha,NE,68108,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",Not Found,""
Monster Movers,www.monstermoversonline.com,720-298-6071,8783 S Balsam St,Littleton,CO,80218,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00253,""
Mountain Moving,www.mountainmovingllc.ne,970-454-3362,36207 Appy Rd,Eaton,CO,80615,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0,"","","","","",HHG-00025,""
Mountain States Moving  Storage,www.mountainstatesmoving.com,303-321-8155,4201 Madison,Denver,CO,80216,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for American Red Ball World Wide Movers
            ","","","",HHG-00174,""
Move  Tune Pianos,www.moveandtune.com,303-733-8472,1899 S Broadway,Denver,CO,80210,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,1,"","","","","",HHG-00216,""
Move Management,www.movemanagementinc.com,303-214-6665,16456 E Airport Circle,Aurora,CO,80011,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,0,"","","","","",HHG-00294,""
Move Support Services Inc.,,303-668-2824,922 S Dearborn Way #1,Aurora,CO,80012,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00198,""
Movemasters Inc.,www.movemastersdenver.com,303-893-8200,745 Lipan St,Denver,CO,80204,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,3,"","","","","",No,""
Moving Day Inc.,www.movingday.net,719-531-0250,4586 Austin Bluffs Pkwy.,Colorado Springs,CO,80918,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,3,"","","","","",HHG-00065,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,12905 Shawnee Mission Pkwy,Shawnee,KS,66216,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","",Yes,""
Moving Disciples  The Trash Pirates,,720-309-7450,6380 S University Blvd,Centennial,CO,80121,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,"","","","","",HHG-00103,""
My Three Sons Moving Co,www.mythreesonsmovingco.com,719-387-7535,2403 Legend Dr,Colorado Springs,CO,80920,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,1,"","","","","",No,""
Navis Logisitics Management,www.gonavis.com,800-344-3528,5675 DTC Blvd Ste 280,Greenwood Village,CO,80111,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,3,"","","","","",No,""
Navis Pack  Ship Center,www.gonavis.com,303-753-0805,2306 S Colorado Blvd,Denver,CO,80222,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00183,""
Navis Pack  Ship Center,www.gonavis.com,719-633-2988,4604 Northpark Dr,Colorado Springs,CO,80918,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00071,""
Neighbors Moving  Storage,www.neighborsmoving.com,303-321-0136,4744 Forest St #K,Denver,CO,80216,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,0,"","","","","",No,""
New World Van Lines of Colorado,www.newworldvanlines.com,303-420-4150,4950 Oak St,Wheat Ridge,CO,80033,true,true,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,201,"","","","","",Canceled,""
No Hasstle Moving LLC,www.nohasslemoving.com,719-328-9394,1604 Rushmore Dr,Colorado Springs,CO,80910,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",HHG-00038,""
Nugent Moving Solutions LLC,www.nugentmovingsolutions.com,970-568-5210,"4414 E Harmony Rd, Ste #100",Fort Collins,CO,80528,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,6,"","","","","",HHG-00322,""
Olde Towne  Moving  Storage Inc.,www.otmoving.com,970-384-4444,62 Cty Rd 113 Bld H,Carbondale,CO,81623,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,6,"","","","","",Revoked,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,8220 Patuxent Range Rd,Jessup,MD,20794,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
On The Move Moving Co Inc.,www.onthemovemoving.com,719-533-1155,520 Fountain Mesa Rd,Fountain,CO,80817,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,2,"","","","","",HHG-00214,""
Pianos Plus Inc.,,303-940-6388,3770 Allison Ct,Wheat Ridge,CO,80033,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,1,"","","","","",HHG-00065,""
Pikes Peak Moving  Storage Co.,pikespeakmoving.com,719-475-2806,30 Mount View Ln,Colorado Springs,CO,80907,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Wheaton World Wide Moving
            ","","","",HHG-00062,""
Pro Moving  Storage,www.promovingandstorage.com,970-593-0909,604 S.E. 8th St,Loveland,CO,80537,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",No,""
Quick Moving LLC,quickmovingllc.com,303-766-1525,4691 S Fraser Cir Unit A,Aurora,CO,80015,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",Inactive,""
R  T Enterprises,www.majesticmountainmovers.com,970-468-8815,120 W 9th,Silverthorne,CO,80498,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",Inactive,""
Red Mountain Moving,www.redmountainmoving.com,303-731-5866,1029 Paragon Dr,Boulder,CO,80303,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",HHG-00317,""
Reliable Movers Inc.,www.reliablemoversinc.com,303-227-3141,4427 Cahita Ct,Denver,CO,80229,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,5,"","","","","",HHG-00250,""
Relocation Services Inc.,,303-944-4253,8262 Johnson Ct,Arvada,CO,80005,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,"","","","","",No,""
Richards Moving Service,,303-507-7108,19792 E Dorado Ave,Aurora,CO,80015,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00250,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,519 Highway 190,Valparaiso,FL,32580,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Road Scholars Moving  Storage Inc.,www.roadscholarsmoving.com,303-693-7070,12001 E Caley Ave Unit D,Centennial,CO,80111,true,true,true,true,false,true,false,true,false,false,false,true,true,false,true,false,true,true,"","","",1994,"","",HHG-00107,""
Rocky Mountain Moving  Storage,www.rockeysmoving.com,719-634-0908,4400 Mark Dabling Blvd,Colorado Springs,CO,80907,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,3,"","","","","",No,""
Rocky Mountain Overseas,rmos.com,303-377-4500,3250 Oakland St,Aurora,CO,80011,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,0,"","","","","",HHG-00023,""
San Miguel Movers LLC,,970-728-6683,714 S Park Rd Unit B,Telliride,CO,81435,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",No,""
"Security Van Lines, Agent for Mayflower",www.securitymayflower.com,719-598-6687,4227 Sinton Rd,Colorado Springs,CO,80907,true,true,true,true,false,true,false,true,true,false,false,true,true,false,true,true,false,false,"","","","",http://www.bbb.org/southern-colorado/business-reviews/movers/security-van-lines-of-colorado-springs-in-colorado-springs-co-87345736,"",HHG-00332,""
Shols Moving  Cleaning LLC,,720-629-2296,3706 S Granby Way,Aurora,CO,80014,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",HHG-00024,""
Sibley  Son Moving  Storage LLC,,970-349-0200,21685 Hwy 135,Crested Butte,CO,81224,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,"","","","","",HHG-00293,""
Small World Movers,,303-931-6135,1428 St Paul,Denver,CO,80206,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1,"","","","","",Inactive,""
Smartbox/Big Box Storage,www.smartboxusa.com,303-227-9236,"6200 N Washinton St, # 17",Denver,CO,80216,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,2,"","","","","",HHG-00222,""
Spirit Van Lines Inc.,,303-806-6683,12650 E 33 Ave Ste 103,Denver,CO,80011,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,4,"","","","","",No,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,94 Kelly Dr,Ward Cove,AK,99928,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Student Movers Inc.,studentmovers.com,303-296-0600,"4200 East 50th Ave, Unit A",Denver,CO,80205,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,16,"","","","","",HHG-00002,""
Taylor Moving LLC,www.taylormove.com,303-443-5885,4949 N Broadway #110,Boulder,CO,80304,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,6,"","","","","",HHG-00100,""
The Moving Connection Inc.,www.movingconnection.com,303-665-6683,1930 Central Ave Unit D,Boulder,CO,80301,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,5,"","","","","",No,""
Total Move LLC,www.total-move.com,970-242-7755,597 25 Rd,Grand Junction,CO,81505,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",No,""
Two Men and a Truck,www.twomenandatruckcoloradosprings.com,719-576-6683,3220 Fillmore Ridge Heights,Colorado Springs,CO,80907,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,19,"","","","","",No,""
Two Men And A Truck Fort Collins,www.twomenandatruckfortcollins.com,970-407-7866,516 W 67th St,Loveland,CO,80538,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,"","","","","",HHG-00044,""
Valley Wide Moving  Delivery,,970-234-3012,230 E 3rd St,Palisade,CO,81526,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,"","","","","",No,""
Watson Moving  Storage,www.nocomovers.com,970-586-6683,930 Juniper Ln Number B,Estes Park,CO,80517,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,5,"","","","","",No,""
Weber Wright Moving,weberwrightmoving.com,719-577-4922,115 S Nevada Ave,Colorado Springs,CO,80903,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,6,"","","","","",HHG-00187,""
Western Moving,,970-249-3570,13199 6650 Rd,Montrose,CO,81401,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,"","","","","",HHG-00318,""
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,5218 Halibut Pt Rd,Sitka,AK,99835,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
White Moving  Storage Inc.,,303-388-4114,4760 Holly St,Denver,CO,80216,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,10,"","","","","",No,""
Whitt Transfer  Storage Co. Inc.,,719-547-2500,345 E Industrial Blvd ,Pueblo,CO,81007,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Mayflower
            ","","","",HHG-00146,""
Woodco Transit Inc.,www.woodcotransit.com,719-384-5401,1600 E 6th St,La Junta,CO,81050,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Atlas Van Lines
            ","","","",Canceled,""
Worldwide Moving Systems LLC,www.worldwidebekins.com,303-776-8529,501 S Francis St,Longmont,CO,80501,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","
              Agent for Bekins Van Lines
            ","","","",No,""
Your Personal Mover Inc.,yourpersonalmover.net,303-277-1221,879 Brickyard Circle #B5,Golden,CO,80403,true,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"","","",2004,"","",HHG-00096,""
American Wandell Moving Service,,719-598-6683,225 North Sinton Rd,Colorado Springs,CO,80907,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2,"","","","","",HHG-00295,""
Fierce Moving  Labor,www.fiercemoving.com,970-301-6042,3620 W 10th St #175,Greeley,CO,80634,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,"","","","","",Labor Only,""
"Interstate Moving Services, Inc.",,719-392-3318,2160 S Hancock Expy,Colorado Springs,CO,80910,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4,"","","","","",Cancelled,""
Johnson Storage and Moving,www.johnsonstorage.com,719-598-1414,4225 Sinton Rd.,Colorado Springs,CO,80907,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",HHG-00279,""
Johnson Storage and Moving,www.johnsonstorage.com,303-778-6683,221 Broadway,Denver,CO,80202,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",HHG-00055,""
Armstrong Relocation,www.armstrongrelocation.com,205-942-1625,212 Total Solutions Way,Alabaster,AL,35007,true,true,true,false,false,true,false,false,false,false,false,true,true,true,false,true,false,false,"","","
              Agent for United Van Lines
            ","","","","",Not Found
"Coleman American Moving Services, Inc.",www.colemanallied.com,877-693-7060,9398 NW 101 St,Medley,FL,33178,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"",35 US Warehouses,"","","","","",Not Found
Johnson Storage and Moving,www.johnsonstorage.com,303-678-5100,900 S. Sunset St.,Longmont,CO,80501,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",HHG-00158,""
Johnson Storage and Moving,www.johnsonstorage.com,303-690-2600,7009 S. Jordan Rd.,Centennial,CO,80112,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",HHG-00058,""
Johnson Storage and Moving,www.johnsonstorage.com,619-881-0187,"8963 Carroll Way, Unit C",San Diego,CA,92121,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","","",Not Found
Johnson Storage and Moving,www.johnsonstorage.com,504-468-8362,100 W Airline Dr,Kenner,LA,70062,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",5039-D,""
Johnson Storage and Moving,www.johnsonstorage.com,505-473-3576,02 Paseo de River,Santa Fe,NM,87501,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","","",Not Found
Johnson Storage and Moving,www.johnsonstorage.com,307-778-6683,204 N. American Rd.,Cheyenne,WY,82007,true,true,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,"","","
              Agent for United Van Lines
            ","","","",Yes,""
"Fischer Van Lines, Moving  Storage llc",www.fischervanlines.com,720-297-9904,651 E 66th Ave,Denver,CO,80229,true,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,true,"","","","",http://www.bbb.org/denver/business-reviews/moving-services-labor-and-materials/fischer-van-lines-moving-and-storage-in-denver-co-34001427,"",HHG-00124,""
Affordable Moving  Storage,www.affordablemoving.net,303-693-7077,1600 S. Abilene St,Aurora,CO,80112,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,"","","
              Agent for National Van Lines
            ","","","",HHG-00021,""
Great Plains Moving and Storage,www.GreatPlainsMoving.com,303-333-8212,4990 Dahlia St.,Denver,CO,80216,true,true,true,false,false,false,false,false,true,false,false,true,true,false,true,true,false,false,"","","
              Agent for North American Van Lines
            ","","","",HHG-00030,""
Great Plains Moving and Storage,www.GreatPlainsMoving.com,303-333-8212,760 Ford St.,Colorado Springs,CO,80915,true,true,true,false,false,false,false,false,true,false,false,true,true,false,true,true,false,false,"","","
              Agent for North American Van Lines
            ","","","",HHG-00030,""
MoveDaddy.com,www.movedaddy.com,205-208-0100,1678 Montgomery Hwy.,Hoover,AL,35216,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,"",No,"","","","","",MEMBER
Denver Movers | 365 Days Moving,www.metrodenvermovers.com,720-457-0909,PO BOX 22887,Denver,CO,80201,true,true,true,false,false,false,false,true,false,false,false,true,true,false,true,false,true,false,"","20,000 sq. ft.","","","","",HHG 00243,""
